Шаг | Роль
1. Оформляет задачу на оценку возможности роботизации | Координатор проектов по роботизации
2. Оценка возможности роботизации | Координатор ГК ДИТ
3. Приоритезация, открытие проекта RPA и помещение процесса в бэклог | Координатор проектов по роботизации
4. Моделирование и документирование процесса | Аналитик
5. Согласование документации процесса | Бизнес-пользователь
6. Согласование документации процесса | Координатор проектов по роботизации
7. Согласование документации процесса | Разработчик RPA
8. Согласование документации процесса | Владелец процесса
9. Согласование документации процесса | Сотрудник ОИБ
10. Роботизация процесса | Разработчик RPA
11. Тестирование процесса | Бизнес-пользователь
12. Перевод процесса в пром. эксплуатацию | Разработчик RPA
13. Приемка роботизированного процесса в эксплуатацию | Бизнес-пользователь
14. Приемка роботизированного процесса в эксплуатацию | Координатор проектов по роботизации
15. Приемка роботизированного процесса в эксплуатацию | Разработчик RPA
16. Приемка роботизированного процесса в эксплуатацию | Владелец процесса
17. Приемка роботизированного процесса в эксплуатацию | Сотрудник ОИБ
18. Создание QG на актуализацию документации СМК по процессу | Координатор проектов по роботизации
