Шаг | Роль
1. Создание запроса | Инициатор
2. Внесение технологии в тех. стек в статусе "Consideration" | Координатор
3. Оценка по техническим критериям | Инициатор
4. Уточнение требований к технологии | Совет по технологиям, Координатор, Владелец продукта
5. Оценка ограничений и рисков принятия новой мажорной версии | Координатор
6. Презентация новой мажорной версии | Инициатор
7. Принятие решения | Главный корпоративный архитектор, Совет по технологиям
8. Внесение записи в тех. стек, оповещение | Координатор
9. Перевод прошлой мажорной версии в статус Deprecated | Координатор
10.Оповещение | Координатор
11.Планирование обновления продукта, в рамках которого поставляется технология | Координатор
12.Планирование автоматизации ресурсов на стороне ДИТ | Координатор
13.Изменение атрибутов технологии в технологическом стеке | Координатор
