Шаг | Роль
1. Определение ответственного за выполнение запроса | Драйвер смены L2
2. Анализ требований запроса | Ответственный за обработку обращения
3. Оценка трудоемкости | Ответственный за обработку обращения
4. Итоговая оценка | Technical account manager
5. Согласование выполнения работ | Ответственный за обработку обращения
6. Выполнение запроса на обучение | Ответственный за обработку обращения
7. Тестирование | Ответственный за обработку обращения
8. Внедрение | Ответственный за обработку обращения
9. Согласование завершения выполнения запроса | Ответственный за обработку обращения
10. Завершение запроса на обслуживание | Ответственный за обработку обращения
